"Bromfietsen actief; aantal (per 1000 inwoners), voertuig, regio, 1 januari"
""
"";""
"";"Onderwerp";"Voertuigen met bromfietskenteken";"Voertuigen met bromfietskenteken";"Voertuigen met bromfietskenteken";"Voertuigen met bromfietskenteken";"Voertuigen per 1000 inwoners";"Voertuigen per 1000 inwoners";"Voertuigen per 1000 inwoners";"Voertuigen per 1000 inwoners"
"";"Soort bromfiets";"Voertuigen met bromfietskenteken";"Snorfiets";"Bromfiets";"Brommobiel";"Voertuigen met bromfietskenteken";"Snorfiets";"Bromfiets";"Brommobiel"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Gooise Meren";"2019";"3165";"1651";"1468";"46";"55";"29";"25";"1"
"Gooise Meren";"2020";"3167";"1628";"1497";"42";"55";"28";"26";"1"
"Gooise Meren";"2021";"3209";"1635";"1524";"50";"55";"28";"26";"1"
"Gooise Meren";"2022";"3211";"1612";"1548";"51";"55";"27";"26";"1"
"Gooise Meren";"2023";"3302";"1614";"1640";"48";"55";"27";"27";"1"
"Gooise Meren";"2024";"3246";"1319";"1865";"62";"54";"22";"31";"1"
"Gooise Meren";"2025";"3204";"1169";"1952";"83";"53";"19";"32";"1"
"'s-Gravenhage (gemeente)";"2019";"33719";"25829";"7564";"326";"63";"48";"14";"1"
"'s-Gravenhage (gemeente)";"2020";"34037";"26531";"7212";"294";"62";"49";"13";"1"
"'s-Gravenhage (gemeente)";"2021";"33467";"26404";"6778";"285";"61";"48";"12";"1"
"'s-Gravenhage (gemeente)";"2022";"33546";"26621";"6623";"302";"61";"48";"12";"1"
"'s-Gravenhage (gemeente)";"2023";"33659";"26212";"7144";"303";"60";"47";"13";"1"
"'s-Gravenhage (gemeente)";"2024";"32634";"23857";"8451";"326";"58";"42";"15";"1"
"'s-Gravenhage (gemeente)";"2025";"32199";"22512";"9313";"374";"57";"40";"16";"1"
"Leeuwarden";"2019";"6633";"4307";"2186";"140";"54";"35";"18";"1"
"Leeuwarden";"2020";"6578";"4324";"2134";"120";"53";"35";"17";"1"
"Leeuwarden";"2021";"6679";"4492";"2072";"115";"54";"36";"17";"1"
"Leeuwarden";"2022";"6716";"4468";"2135";"113";"54";"36";"17";"1"
"Leeuwarden";"2023";"6824";"4481";"2227";"116";"54";"35";"18";"1"
"Leeuwarden";"2024";"6624";"4004";"2501";"119";"51";"31";"19";"1"
"Leeuwarden";"2025";"6397";"3565";"2704";"128";"49";"27";"21";"1"
"Nijmegen";"2019";"10048";"7629";"2284";"135";"57";"43";"13";"1"
"Nijmegen";"2020";"10002";"7575";"2305";"122";"56";"43";"13";"1"
"Nijmegen";"2021";"9914";"7510";"2287";"117";"56";"42";"13";"1"
"Nijmegen";"2022";"9809";"7316";"2366";"127";"55";"41";"13";"1"
"Nijmegen";"2023";"9726";"7003";"2602";"121";"53";"38";"14";"1"
"Nijmegen";"2024";"9195";"5969";"3090";"136";"49";"32";"17";"1"
"Nijmegen";"2025";"8595";"5100";"3343";"152";"45";"27";"18";"1"
"Rotterdam";"2019";"35658";"23813";"11480";"365";"55";"37";"18";"1"
"Rotterdam";"2020";"36650";"25161";"11121";"368";"56";"39";"17";"1"
"Rotterdam";"2021";"38718";"27450";"10883";"385";"59";"42";"17";"1"
"Rotterdam";"2022";"39893";"28626";"10871";"396";"61";"44";"17";"1"
"Rotterdam";"2023";"40222";"28678";"11140";"404";"61";"43";"17";"1"
"Rotterdam";"2024";"39684";"26524";"12736";"424";"59";"40";"19";"1"
"Rotterdam";"2025";"38714";"24605";"13663";"446";"58";"37";"20";"1"
"Bron: CBS"
